Estadísticos;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
Diferencia;;67753944;-43,7;-119,637
Promedio;;;1628,546;-0,645
Máximo;;;2798,72;12261,013

Muestra;Repetición;Tiempo (micros);Fuerza (N);RFD (N/s)
2;0;2544;101,92;230,244
3;0;14072;101,96;168,056
4;0;25572;105,79;77,445
5;0;37056;103,74;-255,875
6;0;48552;99,91;-9,59
7;0;59996;103,52;82,666
8;0;71536;101,81;-171,905
9;0;83032;99,56;-70,607
10;0;94480;100,19;-27,845
11;0;106016;98,92;-63,98
12;0;117456;98,72;56,224
13;0;128960;100,21;275,655
14;0;140492;105,07;417,897
15;0;151980;109,83;419,93
16;0;163472;114,72;310,543
17;0;174972;116,97;224,939
18;0;186456;119,89;217,183
19;0;197948;121,96;22,189
20;0;209440;120,4;-8,271
21;0;220920;121,77;91,819
22;0;232420;122,51;152,635
23;0;243916;125,28;69,602
24;0;255408;124,11;-100,922
25;0;266904;122,96;-174,904
26;0;278392;120,09;-325,557
27;0;289880;115,48;-383,812
28;0;301372;111,27;-560,727
29;0;312868;102,59;-696,015
30;0;324360;95,27;-479,864
31;0;335812;91,58;-204,847
32;0;347304;90,57;-101,828
33;0;358792;89,24;-127,524
34;0;370280;87,64;-38,288
35;0;381776;88,36;6,959
36;0;393272;87,8;54,386
37;0;404760;89,61;-62,206
38;0;416260;86,37;-286,771
39;0;427740;83,02;-200,174
40;0;439240;81,77;-76,535
41;0;450736;81,26;14,355
42;0;462228;82,1;114,012
43;0;473716;83,88;287,926
44;0;485220;88,72;548,887
45;0;496708;96,5;526,201
46;0;508196;100,81;443,885
47;0;519732;106,72;474,475
48;0;531232;111,74;270,917
49;0;542728;112,95;-245,431
50;0;554212;106,1;-506,18
51;0;565704;101,32;-175,805
52;0;577192;102,06;-73,977
53;0;588684;99,62;-61,018
54;0;600136;100,66;-16,093
55;0;611676;99,25;-447,703
56;0;623120;90,37;-825,048
57;0;634608;80,33;-593,788
58;0;646108;76,72;-236,21
59;0;657596;74,9;-80,926
60;0;669092;74,86;30,467
61;0;680572;75,6;12,182
62;0;692076;75,14;10,437
63;0;703568;75,84;16,101
64;0;715056;75,51;-89,208
65;0;726548;73,79;93,124
66;0;738036;77,65;87,452
67;0;749532;75,8;-196,659
68;0;761020;73,13;-199,739
69;0;772512;71,21;-215,802
70;0;784004;68,17;-183,139
71;0;795500;67;2,611
72;0;806980;68,23;1,741
73;0;818480;67,04;-103,55
74;0;829964;65,85;-4,352
75;0;841460;66,94;20,442
76;0;852956;66,32;138,285
77;0;864456;70,12;250,131
78;0;875944;72,07;141,09
79;0;887420;73,36;43,501
80;0;898932;73,07;-203,514
81;0;910416;68,68;-97,024
82;0;921916;70,84;238,385
83;0;933404;74,16;238,945
84;0;944892;76,33;104,402
85;0;956392;76,56;146,598
86;0;967880;79,7;178,354
87;0;979380;80,66;-33,943
88;0;990860;78,92;-107,012
89;0;1002368;78,2;-145,243
90;0;1013856;75,58;-87,452
91;0;1025352;76,19;80,07
92;0;1036836;77,42;40,021
93;0;1048340;77,11;-33,049
94;0;1059832;76,66;-206,266
95;0;1071320;72,37;-233,641
96;0;1082816;71,29;-100,505
97;0;1094304;70,06;-29,596
98;0;1105792;70,61;-33,061
99;0;1117292;69,3;-171,394
100;0;1128780;66,67;-120,624
101;0;1140256;66,53;-38,308
102;0;1151752;65,79;-140,992
103;0;1163236;63,29;-132,289
104;0;1174732;62,75;-75,23
105;0;1186232;61,56;23,503
106;0;1197708;63,29;25,239
107;0;1209212;62,14;-78,682
108;0;1220712;61,48;-54,386
109;0;1232196;60,89;-14,365
110;0;1243684;61,15;215,802
111;0;1255180;65,85;368,824
112;0;1266676;69,63;274,104
113;0;1278164;72,15;105,327
114;0;1289652;72,05;46,578
115;0;1301136;73,22;175,744
116;0;1312640;76,09;202,315
117;0;1324120;77,87;-12,622
118;0;1335616;75,8;-321,149
119;0;1347100;70,49;-154,563
120;0;1358584;72,25;11,31
121;0;1370088;70,75;-295,32
122;0;1381576;65,46;-386,356
123;0;1393072;61,87;-117,038
124;0;1404560;62,77;146,649
125;0;1416052;65,24;215,33
126;0;1427548;67,72;107,882
127;0;1439040;67,72;93,56
128;0;1450528;69,87;349,748
129;0;1462028;75,76;347,138
130;0;1473516;77,85;265,93
131;0;1485004;81,87;442,917
132;0;1496500;88,03;487,465
133;0;1507980;93,07;455,178
134;0;1519480;98,49;457,036
135;0;1530976;103,58;591,248
136;0;1542516;112,11;541,515
137;0;1554004;116,05;244,56
138;0;1565496;117,73;279,179
139;0;1577000;122,47;222,29
140;0;1588484;122,84;-241,121
141;0;1599976;116,93;-515,141
142;0;1611468;111;-385,486
143;0;1622960;108,07;-357,702
144;0;1634448;102,78;-231,86
145;0;1645948;102,74;-41,333
146;0;1657432;101,83;-123,151
147;0;1668928;99,91;-105,456
148;0;1680380;99,41;-192,609
149;0;1691876;95,49;-446,04
150;0;1703360;89,16;-472,15
151;0;1714856;84,64;-373,238
152;0;1726348;80,58;-186,184
153;0;1737844;80,36;11,745
154;0;1749336;80,85;-110,096
155;0;1760824;77,83;-230,635
156;0;1772316;75,55;-130,983
157;0;1783804;74,82;-31,772
158;0;1795292;74,82;-147,494
159;0;1806788;71,43;-291,942
160;0;1818276;68,11;-192,709
161;0;1829776;67;-72,237
162;0;1841256;66,45;-150,157
163;0;1852752;63,55;-92,238
164;0;1864240;64,33;241,907
165;0;1875736;69,11;246,693
166;0;1887224;70;15,236
167;0;1898708;69,46;62,217
168;0;1910208;71,43;140,943
169;0;1921696;72,7;89,208
170;0;1933188;73,48;93,141
171;0;1944672;74,84;134,9
172;0;1956168;76,58;30,031
173;0;1967648;75,53;101,828
174;0;1979148;78,92;139,203
175;0;1990636;78,73;-4,35
176;0;2002136;78,82;-148,773
177;0;2013624;75,31;-258,921
178;0;2025116;72,87;-203,62
179;0;2036608;70,63;-161,88
180;0;2048096;69,15;-173,134
181;0;2059596;66,65;-192,743
182;0;2071080;64,72;-69,626
183;0;2082576;65,05;-118,778
184;0;2094064;61,99;-131,831
185;0;2105560;62,02;90,513
186;0;2117044;64,07;268,681
187;0;2128524;68,19;249,739
188;0;2140028;69,81;5,219
189;0;2151516;68,31;-133,113
190;0;2163016;66,75;-28,29
191;0;2174492;67,66;336,178
192;0;2185980;74,47;470,245
193;0;2197480;78,47;-85,652
194;0;2208980;72,5;-340,177
195;0;2220468;70,65;24,817
196;0;2231948;73,07;246,43
197;0;2243436;76,31;296,242
198;0;2254936;79,88;122,195
199;0;2266432;79,12;28,726
200;0;2277912;80,54;330,46
201;0;2289400;86,71;354,036
202;0;2300904;88,68;184,847
203;0;2312392;90,96;272,458
204;0;2323880;94,94;165,419
205;0;2335364;94,76;81,389
206;0;2346856;96,81;61,326
207;0;2358356;96,17;-277,536
208;0;2369844;90,43;-326,977
209;0;2381324;88,66;-261,577
210;0;2392820;84,42;-236,169
211;0;2404316;83,23;-93,946
212;0;2415812;82,26;-129,655
213;0;2427300;80,25;-111,421
214;0;2438788;79,7;-130,09
215;0;2450284;77,26;-273,234
216;0;2461772;73,42;-293,631
217;0;2473272;70,51;-173,194
218;0;2484752;69,44;-96,623
219;0;2496248;68,29;-104,402
220;0;2507740;67,04;-133,618
221;0;2519224;65,22;-140,049
222;0;2530732;63,82;-190,969
223;0;2542212;60,83;-104,457
224;0;2553708;61,42;168,378
225;0;2565196;64,7;241,037
226;0;2576692;66,96;-30,021
227;0;2588180;64,01;-173,254
228;0;2599664;62,98;-192,308
229;0;2611164;59,59;20,445
230;0;2622652;63,45;332,405
231;0;2634148;67,23;-94,446
232;0;2645628;61,28;-281,647
233;0;2657120;60,76;59,596
234;0;2668616;62,65;138,357
235;0;2680104;63,94;94,011
236;0;2691592;64,81;61,804
237;0;2703080;65,36;-62,63
238;0;2714584;63,37;-200,07
239;0;2726072;60,76;-182,301
240;0;2737568;59,18;-35,689
241;0;2749048;59,94;26,98
242;0;2760548;59,8;-136,593
243;0;2772036;56,8;18,715
244;0;2783524;60,23;138,405
245;0;2795012;59,98;23,06
246;0;2806508;60,76;167,015
247;0;2818004;63,82;-18,702
248;0;2829500;60,33;-33,066
249;0;2840988;63,06;157,148
250;0;2852472;63,94;-8,7
251;0;2863976;62,86;14,348
252;0;2875472;64,27;22,189
253;0;2886960;63,37;58,312
254;0;2898452;65,61;148,825
255;0;2909940;66,79;114,012
256;0;2921432;68,23;-14,79
257;0;2932928;66,45;-81,361
258;0;2944416;66,36;-96,656
259;0;2955896;64,23;-57,866
260;0;2967400;65,03;35,671
261;0;2978884;65,05;17,845
262;0;2990376;65,44;12,615
263;0;3001872;65,34;19,579
264;0;3013360;65,89;87,467
265;0;3024852;67,35;-26,531
266;0;3036352;65,28;-98,312
267;0;3047840;65,09;-17,848
268;0;3059324;64,87;10,881
269;0;3070816;65,34;17,838
270;1;3082308;65,28;-118,758
271;1;3093804;62,61;-56,571
272;1;3105288;63,98;156,304
273;1;3116772;66,2;138,333
274;1;3128276;67,16;36,534
275;1;3139764;67,04;-80,926
276;1;3151260;65,3;-100,957
277;1;3162744;64,72;96,171
278;1;3174240;67,51;225,691
279;1;3185740;69,91;84,812
280;1;3197232;69,46;63,556
281;1;3208712;71,37;100,104
282;1;3220208;71,76;77,432
283;1;3231700;73,15;106,124
284;1;3243200;74,2;43,066
285;1;3254688;74,14;-79,648
286;1;3266176;72,37;-12,615
287;1;3277676;73,85;355,465
288;1;3289160;80,54;252,046
289;1;3300648;79,64;-100,104
290;1;3312136;78,24;21,319
291;1;3323632;80,13;225,731
292;1;3335128;83,43;284,546
293;1;3346616;86,67;293,683
294;1;3358112;90,18;146,624
295;1;3369600;90,04;-6,093
296;1;3381088;90,04;147,981
297;1;3392576;93,44;315,002
298;1;3404072;97,28;271,54
299;1;3415556;99,68;105,346
300;1;3427044;99,7;-63,511
301;1;3438544;98,22;-7,829
302;1;3450036;99,52;86,567
303;1;3461532;100,21;-3,91
304;1;3473056;99,43;76,153
305;1;3484512;101,96;104,402
306;1;3496044;101,83;-25,191
307;1;3507536;101,38;-149,669
308;1;3519028;98,39;-77,621
309;1;3530468;99,6;127,724
310;1;3541968;101,32;234,85
311;1;3553504;105,01;215,862
312;1;3564992;106,29;15,231
313;1;3576484;105,36;68,285
314;1;3587984;107,86;197,529
315;1;3599468;109,9;44,829
316;1;3610960;108,89;-232,336
317;1;3622452;104,56;-378,59
318;1;3633940;100,19;-141,838
319;1;3645436;101,3;25,239
320;1;3656920;100,77;-41,783
321;1;3668412;100,34;-45,7
322;1;3679896;99,72;-102,877
323;1;3691352;97,98;118,114
324;1;3702840;102,43;201,928
325;1;3714380;102,63;-155,843
326;1;3725876;98,84;-201,972
327;1;3737304;98;4,364
328;1;3748792;98,94;33,066
329;1;3760288;98,76;-208,841
330;1;3771776;94,14;-213,664
331;1;3783268;93,85;-33,937
332;1;3794760;93,36;-26,531
333;1;3806260;93,24;33,943
334;1;3817740;94,14;225,927
335;1;3829232;98,43;380,331
336;1;3840720;102,88;217,165
337;1;3852256;103,43;175,439
338;1;3863748;106,92;307,17
339;1;3875240;110,49;230,24
340;1;3886724;112,21;184,943
341;1;3898220;114,74;260,571
342;1;3909712;118,2;229,37
343;1;3921196;120,01;51,802
344;1;3932684;119,39;-174,996
345;1;3944168;115,99;-30,021
346;1;3955668;118,7;185,717
347;1;3967160;120,26;124,869
348;1;3978652;121,57;-61,804
349;1;3990136;118,84;-79,621
350;1;4001636;119,74;80,463
351;1;4013128;120,69;-68,743
352;1;4024620;118,16;-257,091
353;1;4036116;114,78;-199,774
354;1;4047596;113,57;-29,591
355;1;4059096;114,1;-59,172
356;1;4070580;112,21;-87,452
357;1;4082080;112,09;-165,883
358;1;4093548;108,4;-251,654
359;1;4105048;106,31;180,932
360;1;4116540;112,56;260,616
361;1;4128032;112,3;-27,406
362;1;4139528;111,93;-43,967
363;1;4151004;111,29;51,802
364;1;4162500;113,12;-130,045
365;1;4173996;108,3;-382,808
366;1;4185488;104,32;-202,82
367;1;4196972;103,64;-20,891
368;1;4208464;103,84;-29,586
369;1;4219956;102,96;-119,234
370;1;4231444;101,1;11,747
371;1;4242940;103,23;36,547
372;1;4254428;101,94;-165,332
373;1;4265924;99,43;-283,833
374;1;4277364;95,43;-158,294
375;1;4288856;95,8;127,133
376;1;4300332;98,35;95,735
377;1;4311836;98;37,411
378;1;4323320;99,21;174,064
379;1;4334816;102;79,917
380;1;4346344;101,05;5,214
381;1;4357832;102,12;79,607
382;1;4369332;102,88;141,788
383;1;4380824;105,38;130,09
384;1;4392316;105,87;67,921
385;1;4403792;106,94;112,726
386;1;4415292;108,46;-26,531
387;1;4426784;106,33;-123,172
388;1;4438268;105,63;41,783
389;1;4449760;107,29;178,509
390;1;4461236;109,73;166,232
391;1;4472740;111,11;98,261
392;1;4484236;111,99;-42,211
393;1;4495720;110,14;-99,234
394;1;4507212;109,71;-46,103
395;1;4518712;109,08;-27,42
396;1;4530188;109,08;120,146
397;1;4541684;111,84;247,912
398;1;4553180;114,78;139,276
399;1;4564660;115,04;-51,793
400;1;4576156;113,59;-96,137
401;1;4587648;112,83;0
402;1;4599132;113,59;16,98
403;1;4610616;113,22;114,863
404;1;4622116;116,23;66,098
405;1;4633612;114,74;-125,718
406;1;4645104;113,34;-63,545
407;1;4656588;113,28;-121,473
408;1;4668072;110,55;-0,87
409;1;4679572;113,26;83,058
410;1;4691068;112,46;-61,771
411;1;4702560;111,84;5,223
412;1;4714044;112,58;-13,059
413;1;4725532;111,54;-146,189
414;1;4737028;109,22;-133,113
415;1;4748520;108,48;73,964
416;1;4760012;110,92;122,323
417;1;4771492;111,29;57,016
418;1;4782988;112,23;-72,199
419;1;4794484;109,63;-113,122
420;1;4805972;109,63;32,213
421;1;4817456;110,37;-138,405
422;1;4828948;106,45;-190,198
423;1;4840432;106;-3,483
424;1;4851920;106,37;152,742
425;1;4863412;109,51;292,914
426;1;4874896;113,1;175,836
427;1;4886388;113,55;-110,077
428;1;4897880;110,57;-98,329
429;1;4909372;111,29;3,481
430;1;4920860;110,65;-45,708
431;1;4932344;110,24;87,918
432;1;4943836;112,67;67,873
433;1;4955328;111,8;-32,213
434;1;4966808;111,93;26,994
435;1;4978296;112,42;96,187
436;1;4989784;114,14;11,753
437;1;5001268;112,69;-63,109
438;1;5012760;112,69;74,848
439;1;5024248;114,41;-27,87
440;1;5035724;112,05;-113,617
441;1;5047220;111,8;123,978
442;1;5058712;114,9;132,312
443;1;5070196;114,84;-188,523
444;1;5081680;110,57;-252,785
445;1;5093180;109,03;93,995
446;1;5104660;112,73;125,348
447;1;5116156;111,91;-107,031
448;1;5127644;110,27;78,356
449;1;5139128;113,71;215,877
450;1;5150620;115,23;115,278
451;1;5162116;116,36;-69,626
452;1;5173600;113,63;-183,299
453;1;5185084;112,15;14,358
454;1;5196584;113,96;38,274
455;1;5208076;113,03;-44,822
456;1;5219564;112,93;-61,347
457;1;5231060;111,62;56,136
458;1;5242544;114,22;167,943
459;1;5254044;115,48;-105,254
460;1;5265536;111,8;-196,659
461;1;5277028;110,96;94,011
462;1;5288512;113,96;152,795
463;1;5300000;114,47;-29,591
464;1;5311492;113,28;-18,709
465;1;5322984;114,04;-16,977
466;1;5334464;112,89;39,185
467;1;5345952;114,94;113,498
468;1;5357460;115,5;-23,921
469;1;5368944;114,39;-26,114
470;1;5380436;114,9;-127,96
471;1;5391920;111,45;-59,607
472;1;5403420;113,53;130,48
473;1;5414912;114,45;-160,084
474;1;5426408;109,85;-214,932
475;1;5437896;109,51;-12,187
476;1;5449384;109,57;224,147
477;1;5460872;114,66;119,669
478;1;5472364;112,32;-42,218
479;1;5483848;113,69;69,638
480;1;5495340;113,92;67,003
481;1;5506832;115,23;50,026
482;1;5518328;115,07;-151,898
483;1;5529808;111,74;-141,477
484;1;5541300;111,82;-84,001
485;1;5552784;109,81;51,775
486;1;5564284;113,01;212,683
487;1;5575776;114,7;16,965
488;1;5587272;113,4;26,549
489;1;5598752;115,31;10,01
490;1;5610248;113,63;-2,611
491;1;5621732;115,25;-67,026
492;1;5633224;112,09;-40,919
493;1;5644704;114,31;74,003
494;1;5656196;113,79;-44,814
495;1;5667688;113,28;-22,189
496;1;5679180;113,28;-67,026
497;1;5690664;111,74;-96,171
498;1;5702160;111,07;-197,265
499;1;5713628;107,21;-185,878
500;1;5725132;106,8;25,657
501;1;5736624;107,8;-1,74
502;1;5748116;106,76;122,302
503;1;5759600;110,61;248,869
504;1;5771100;112,48;81,347
505;1;5782588;112,48;21,319
506;1;5794084;112,97;49,156
507;1;5805576;113,61;-136,593
508;1;5817072;109,83;-123,999
509;1;5828560;110,76;-25,67
510;1;5840056;109,24;-209,675
511;1;5851548;105,94;-56,146
512;1;5863032;107,95;147,955
513;1;5874528;109,34;32,185
514;1;5886024;108,69;-115,692
515;1;5897520;106,68;-62,641
516;1;5909012;107,25;78,343
517;1;5920496;108,48;-74,874
518;1;5931984;105,53;-80,491
519;1;5943480;106,63;80,912
520;1;5954972;107,39;91,352
521;1;5966468;108,73;-46,111
522;1;5977960;106,33;-59,161
523;1;5989456;107,37;198,799
524;1;6000948;110,9;27,855
525;1;6012432;108,01;-158,889
526;1;6023920;107,25;113,083
527;1;6035424;110,61;182,704
528;1;6046908;111,45;-20,453
529;1;6058404;110,14;-139,227
530;1;6069892;108,25;-50,923
531;1;6081380;108,97;66,133
532;1;6092876;109,77;-42,631
533;1;6104368;107,99;-226,758
534;1;6115852;104,56;-49,173
535;1;6127348;106,86;165,332
536;1;6138836;108,36;8,702
537;1;6150332;107,06;98,764
538;1;6161820;110,63;151,001
539;1;6173312;110,53;-149,591
540;1;6184816;107,19;-185,749
541;1;6196300;106,26;-84,871
542;1;6207792;105,24;-94,446
543;1;6219276;104,09;-152,848
544;1;6230756;101,73;-23,056
545;1;6242264;103,56;94,766
546;1;6253760;103,91;-93,124
547;1;6265244;101,42;-73,568
548;1;6276732;102,22;23,491
549;1;6288232;101,96;-82,666
550;1;6299716;100,32;73,107
551;1;6311212;103,64;179,224
552;1;6322704;104,44;55,294
553;1;6334180;104,91;-57,016
554;1;6345680;103,13;-95,267
555;1;6357168;102,72;-42,203
556;1;6368664;102,16;-123,564
557;1;6380152;99,88;-130,385
558;1;6391596;99,17;54,045
559;1;6403096;101,12;72,074
560;1;6414628;100,83;6,081
561;1;6426120;101,26;48,311
562;1;6437604;101,94;-6,091
563;1;6449104;101,12;10,437
564;1;6460600;102,18;70,496
565;1;6472084;102,74;33,96
566;1;6483568;102,96;21,323
567;1;6495064;103,23;4,349
568;1;6506560;103,06;-27,855
569;1;6518040;102,59;-42,646
570;1;6529540;102,08;16,971
571;1;6541020;102,98;32,191
572;1;6552528;102,82;-23,921
573;1;6564012;102,43;38,294
574;1;6575508;103,7;34,807
575;1;6586996;103,23;-46,538
576;1;6598500;102,63;-95,702
577;1;6609984;101,03;-57,026
578;1;6621472;101,32;154,428
579;1;6632972;104,58;182,301
580;1;6644456;105,51;22,624
581;1;6655956;105,1;-122,216
582;1;6667448;102,7;-61,771
583;1;6678944;103,68;13,059
584;1;6690420;103;0
585;1;6701908;103,68;-46,103
586;1;6713412;101,94;-52,618
587;1;6724904;102,47;48,73
588;1;6736396;103,06;15,236
589;1;6747876;102,82;24,361
590;1;6759384;103,62;117,826
591;1;6770876;105,53;23,068
592;1;6782360;104,15;34,825
593;1;6793848;106,33;46,546
594;1;6805348;105,22;-4,784
595;1;6816840;106,22;-20,445
596;1;6828336;104,75;-176,675
597;1;6839820;102,16;-73,555
598;1;6851312;103,06;170,583
599;1;6862800;106,08;114,427
600;1;6874296;105,69;-93,543
601;1;6885784;103,93;10,877
602;1;6897280;105,94;37,404
603;1;6908776;104,79;20,453
604;1;6920260;106,41;88,338
605;1;6931756;106,82;20,445
606;1;6943248;106,88;126,676
607;1;6954728;109,73;127,48
608;1;6966232;109,81;-61,336
609;1;6977716;108,32;-201,515
610;1;6989208;105,18;-1,741
611;1;7000692;108,28;262,356
612;1;7012192;111,21;196,991
613;1;7023688;112,81;41,775
614;1;7035172;112,17;-150,131
615;1;7046668;109,36;-55,265
616;1;7058152;110,9;167,943
617;1;7069652;113,22;144,398
618;1;7081144;114,22;16,965
619;1;7092640;113,61;13,488
620;1;7104128;114,53;21,323
621;1;7115620;114,1;-130,068
622;1;7127116;111,54;-172,264
623;1;7138608;110,14;-249,347
624;1;7150096;105,81;-103,604
625;1;7161580;107,76;166,26
626;1;7173072;109,63;73,082
627;1;7184568;109,44;14,36
628;1;7196052;109,96;60,084
629;1;7207536;110,82;38,301
630;1;7219028;110,84;-0,87
631;1;7230520;110,8;22,189
632;1;7242012;111,35;15,233
633;1;7253496;111,15;144,959
634;1;7264984;114,68;147,033
635;1;7276484;114,53;-170,494
636;1;7287976;110,76;-145,293
637;1;7299472;111,19;3,481
638;1;7310956;110,84;-65,263
639;1;7322456;109,69;-108,771
640;1;7333940;108,34;131,442
641;1;7345432;112,71;244,433
642;1;7356932;113,96;122,259
643;1;7368416;115,52;57,016
644;1;7379908;115,27;107,901
645;1;7391400;118;176,675
646;1;7402888;119,33;30,456
647;1;7414384;118,7;21,315
648;1;7425876;119,82;30,021
649;1;7437368;119,39;-5,22
650;1;7448864;119,7;40,477
651;1;7460344;120,32;-16,104
652;1;7471840;119,33;5,22
653;1;7483332;120,44;47,416
654;1;7494828;120,42;-30,461
655;1;7506312;119,74;36,573
656;1;7517796;121,26;-16,095
657;1;7529300;119,37;49,156
658;1;7540784;122,39;283,438
659;1;7552268;125,88;102,716
660;1;7563760;124,75;-127,937
661;1;7575248;122,94;-90,917
662;1;7586748;122,66;51,748
663;1;7598244;124,13;106,161
664;1;7609732;125,1;126,241
665;1;7621216;127,03;30,891
666;1;7632716;125,81;1,74
667;1;7644208;127,07;126,219
668;1;7655692;128,71;27,406
669;1;7667196;127,7;-133,113
670;1;7678680;125,65;-168,407
671;1;7690176;123,83;-43,493
672;1;7701672;124,65;-113,537
673;1;7713164;121,22;-273,329
674;1;7724648;118,37;-125,783
675;1;7736140;118,33;163,129
676;1;7747636;122,12;274,878
677;1;7759132;124,65;163,621
678;1;7770616;125,88;23,076
679;1;7782100;125,18;-52,645
680;1;7793600;124,67;146,112
681;1;7805096;128,54;193,579
682;1;7816588;129,12;26,98
683;1;7828076;129,16;20,449
684;1;7839572;129,59;44,371
685;1;7851064;130,18;-19,582
686;1;7862552;129,14;-117,473
687;1;7874048;127,48;-60,052
688;1;7885532;127,76;-26,11
689;1;7897028;126,88;-53,506
690;1;7908520;126,53;13,485
691;1;7920016;127,19;189,295
692;1;7931500;130,88;292,044
693;1;7942992;133,9;89,192
694;1;7954484;132,93;-133,113
695;1;7965980;130,84;-146,189
696;1;7977468;129,57;-180,219
697;1;7988952;126,7;-90,933
698;1;8000452;127,48;36,534
699;1;8011944;127,54;46,119
700;1;8023436;128,54;-98,364
701;1;8034920;125,28;-205,032
702;1;8046408;123,83;-20,449
703;1;8057904;124,81;90,078
704;1;8069388;125,9;23,946
705;1;8080872;125,36;-76,18
706;1;8092360;124,15;-63,098
707;1;8103852;123,91;2,611
708;1;8115336;124,21;-27,86
709;1;8126824;123,27;-64,862
710;1;8138308;122,72;-217,581
711;1;8149804;118,27;-86,567
712;1;8161296;120,73;132,678
713;1;8172792;121,32;6,089
714;1;8184288;120,87;33,084
715;1;8195764;122,08;94,882
716;1;8207264;123,05;137,463
717;1;8218752;125,24;82,652
718;1;8230252;124,95;-31,326
719;1;8241736;124,52;-46,973
720;1;8253244;123,87;-147,878
721;1;8264728;121,12;-135,747
722;1;8276228;120,75;50,878
723;1;8287724;122,29;156,25
724;1;8299204;124,34;181,897
725;1;8310704;126,47;83,058
726;1;8322200;126,25;-30,451
727;1;8333692;125,77;66,591
728;1;8345176;127,78;189,262
729;1;8356676;130,12;154,375
730;1;8368172;131,33;147,52
731;1;8379656;133,51;184,073
732;1;8391152;135,56;191,873
733;1;8402640;137,92;106,161
734;1;8414136;138;33,948
735;1;8425616;138,7;28,721
736;1;8437116;138,66;106,142
737;1;8448604;141,14;232,73
738;1;8460104;144,01;-91,787
739;1;8471592;139,03;-223,238
740;1;8483084;138,88;-110,096
741;1;8494572;136,5;-55,285
742;1;8506056;137,61;158,778
743;1;8517560;140,15;-7,829
744;1;8529048;137,43;3,046
745;1;8540540;140,22;-27,85
746;1;8552028;136,79;-246,65
747;1;8563528;134,55;-49,165
748;1;8575012;135,66;-56,146
749;1;8586504;133,26;-190,969
750;1;8598000;131,27;-164,113
751;1;8609476;129,49;-80,084
752;1;8620976;129,43;181,771
753;1;8632472;133,67;190,165
754;1;8643956;133,8;-164,983
755;1;8655444;129,88;-303,69
756;1;8666940;126,82;-300,209
757;1;8678428;122,98;-247,171
758;1;8689920;121,14;-148,799
759;1;8701412;119,56;-136,641
760;1;8712900;118;-65,297
761;1;8724384;118,06;12,617
762;1;8735884;118,29;154,402
763;1;8747376;121,61;221,971
764;1;8758860;123,39;107,939
765;1;8770352;124,09;28,731
766;1;8781832;124,05;147,545
767;1;8793328;127,48;287,541
768;1;8804820;130,66;30,031
769;1;8816304;128,17;-100,07
770;1;8827804;128,36;162,694
771;1;8839292;131,91;224,978
772;1;8850784;133,53;140,122
773;1;8862272;135,13;64,404
774;1;8873764;135,01;52,645
775;1;8885256;136,34;16,965
776;1;8896752;135,4;94,414
777;1;8908240;138,51;277,729
778;1;8919724;141,78;165,332
779;1;8931224;142,31;131,808
780;1;8942712;144,81;122,238
781;1;8954212;145,12;62,641
782;1;8965700;146,25;130,938
783;1;8977200;148,13;183,574
784;1;8988688;150,47;161,852
785;1;9000184;151,85;-148,773
786;1;9011676;147,05;-349,991
787;1;9023156;143,81;-158,751
788;1;9034668;143,4;165,681
789;1;9046152;147,62;94,463
790;1;9057640;145,57;-189,361
791;1;9069124;143,27;-159,732
792;1;9080616;141,9;-188,425
793;1;9092104;138,94;-416,014
794;1;9103596;132,34;-377,285
795;1;9115084;130,27;-138,429
796;1;9126568;129,16;-164,519
797;1;9138060;126,49;-203,584
798;1;9149556;124,48;-40,014
799;1;9161052;125,57;-25,674
800;1;9172536;123,89;-55,275
801;1;9184028;124,3;55,256
802;1;9195520;125,16;79,172
803;1;9207016;126,12;76,575
804;1;9218504;126,92;-84,886
805;1;9229988;124,17;-45,249
806;1;9241488;125,88;93,946
807;1;9252980;126,33;-68,732
808;1;9264476;124,3;-101,863
809;1;9275952;123,99;146,24
810;1;9287452;127,66;327,505
811;1;9298944;131,52;324,195
812;1;9310432;135,11;503,306
813;1;9321932;143,09;487,635
814;1;9333400;146,31;132,701
815;1;9344916;146,14;50,87
816;1;9356400;147,48;-73,107
817;1;9367896;144,46;-167,102
818;1;9379380;143,64;-73,99
819;1;9390872;142,76;30,461
820;1;9402360;144,34;167,943
821;1;9413856;146,62;193,613
822;1;9425344;148,79;63,12
823;1;9436828;148,07;-91,819
824;1;9448324;146,68;79,593
825;1;9459820;149,9;174,874
826;1;9471312;150,7;-94,882
827;1;9482796;147,72;-134,03
828;1;9494292;147,62;-124,826
829;1;9505788;144,85;5,222
830;1;9517272;147,74;201,915
831;1;9528768;149,49;93,124
832;1;9540252;149,88;-33,937
833;1;9551752;148,71;-86,567
834;1;9563240;147,89;-203,62
835;1;9574736;144,03;-422,18
836;1;9586216;138,19;-407,746
837;1;9597716;134,66;-140,508
838;1;9609204;134,96;192,743
839;1;9620700;139,09;307,17
840;1;9632188;142,02;254,267
841;1;9643668;144,93;183,171
842;1;9655172;146,23;-187,022
843;1;9666660;140,63;-403,829
844;1;9678152;136,95;-79,634
845;1;9689640;138,8;259,836
846;1;9701128;142,92;252,002
847;1;9712616;144,59;126,241
848;1;9724100;145,82;-26,98
849;1;9735596;143,97;-47,424
